datatype,glanceid,name,tid,chain_tid,phys_group,events,files,status,timestamp,pr_id,campaign,ddm_erase_timestamp,vuid,grid_exec,se,file_size_mb
montecarlo,554,mc11_7TeV.107692.AlpgenJimmyWmunuNp2_pt20.merge.NTUP_SMWZ.e825_a131_s1353_a133_r2780_p756_tid572646_00,572646,572646,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,770a1b7c-fff5-11e0-a41c-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107694.AlpgenJimmyWmunuNp4_pt20.merge.NTUP_TAUMEDIUM.e825_a131_s1353_a145_r2993_p851_tid01085034_00,1085034,1085034,GP_Tau,0,NULL,frozen,NULL,NULL,NULL,NULL,69ff17e0-3e3b-11e2-b111-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107673.AlpgenJimmyZtautauNp3_pt20.merge.log.e835_s1299_s1300_r3043_r2993_p886_tid735278_00,735278,735278,gr_JetMet,0,NULL,frozen,NULL,NULL,NULL,NULL,cf7b039c-679d-11e1-8eec-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107663.AlpgenJimmyZmumuNp3_pt20.merge.NTUP_SMLIGHT.e835_s1299_s1300_r3043_r2993_p1248_tid01016143_00,1016143,1016143,GP_SM,0,NULL,frozen,NULL,NULL,NULL,NULL,b01f573e-1e3e-11e2-94da-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107701.AlpgenJimmyWtaunuNp1_pt20.merge.HITS.e835_s1280_s1274_tid473363_00,473363,473363,Top,0,NULL,deleted,NULL,NULL,NULL,NULL,2befd9e0-b871-11e0-b872-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.105860.TTbar_PowHeg_Jimmy.merge.log.e873_s1310_s1300_r2730_r2780_p766_tid573166_00,573166,573166,gr_Top,0,NULL,frozen,NULL,NULL,NULL,NULL,408d9c5c-006a-11e1-a40e-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107652.AlpgenJimmyZeeNp2_pt20.merge.log.e835_s1299_s1300_r2730_r2700_p833_tid620199_00,620199,620199,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,864078ca-2ab1-11e1-8a02-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107673.AlpgenJimmyZtautauNp3_pt20.merge.NTUP_SUSY01LEP.e835_s1299_s1300_r2920_r2900_p832_tid609681_00,609681,609681,gr_Susy,0,NULL,frozen,NULL,NULL,NULL,NULL,fb8b4bb4-266f-11e1-8693-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107663.AlpgenJimmyZmumuNp3_pt20.recon.log.e835_s1299_s1300_r2730_tid515198_00,515198,515198,Top,0,NULL,frozen,NULL,NULL,NULL,NULL,f1b5cf4e-deec-11e0-bc9d-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107690.AlpgenJimmyWmunuNp0_pt20.simul.HITS.e825_s1299_tid495149_00,495149,495149,Top,0,NULL,deleted,NULL,NULL,NULL,NULL,4b0f1582-c7f0-11e0-a436-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107654.AlpgenJimmyZeeNp4_pt20.merge.NTUP_HSG2.e835_s1299_s1300_r3043_r2993_p1225_tid01009849_00,1009849,1009849,GP_Higgs,0,NULL,deleted,NULL,NULL,NULL,NULL,23c17a5a-194e-11e2-a4c9-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107670.AlpgenJimmyZtautauNp0_pt20.merge.AOD.e835_s1299_s1300_r3043_r2993_tid645598_00,645598,645598,Physics,0,NULL,frozen,NULL,NULL,NULL,NULL,b53daaf0-37b6-11e1-9d09-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107683.AlpgenJimmyWenuNp3_pt20.merge.log.e825_a131_s1353_tid01188856_00,1188856,1188856,AP_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,a2a7c84a-68c4-11e2-9dc4-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107685.AlpgenJimmyWenuNp5_pt20.recon.AOD.e825_s1299_s1300_r2730_tid515124_00,515124,515124,Top,0,NULL,deleted,NULL,NULL,NULL,NULL,bf2f7616-deeb-11e0-bc9d-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107700.AlpgenJimmyWtaunuNp0_pt20.merge.NTUP_TOP.e835_s1299_s1300_r2730_r2780_p822_tid603417_00,603417,603417,gr_Top,0,NULL,frozen,NULL,NULL,NULL,NULL,a645f28e-1fb8-11e1-a6d0-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107674.AlpgenJimmyZtautauNp4_pt20.merge.log.e835_s1299_s1300_r3043_r2993_p834_tid661833_00,661833,661833,gr_Top,0,NULL,frozen,NULL,NULL,NULL,NULL,de5e0b58-40e1-11e1-97ce-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107681.AlpgenJimmyWenuNp1_pt20.evgen.log.e1332_tid00868411_00,868411,868411,AP_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,2e0878cc-ba1e-11e1-bb07-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107692.AlpgenJimmyWmunuNp2_pt20.merge.log.e825_s1299_s1300_r2920_r2900_p833_tid620784_00,620784,620784,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,866145ea-2b02-11e1-bf2c-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107685.AlpgenJimmyWenuNp5_pt20.merge.NTUP_TOP.e825_s1299_s1300_r3043_r2993_p834_tid653551_00,653551,653551,gr_Top,0,NULL,frozen,NULL,NULL,NULL,NULL,cd9abdd2-3ba7-11e1-b0df-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107671.AlpgenJimmyZtautauNp1_pt20.merge.log.e835_s1299_s1300_r3043_r2993_p851_tid654128_00,654128,654128,gr_Tau,0,NULL,frozen,NULL,NULL,NULL,NULL,6e9c9b12-3c14-11e1-a89c-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107691.AlpgenJimmyWmunuNp1_pt20.merge.NTUP_TOP.e825_a131_s1353_a139_r2900_p937_tid759551_00,759551,759551,gr_Top,0,NULL,frozen,NULL,NULL,NULL,NULL,84f7dad6-81fe-11e1-ad63-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107652.AlpgenJimmyZeeNp2_pt20.merge.NTUP_TOP.e835_s1299_s1300_r3043_r2993_p937_tid758411_00,758411,758411,gr_Top,0,NULL,frozen,NULL,NULL,NULL,NULL,3afaebd0-81fe-11e1-ad63-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107665.AlpgenJimmyZmumuNp5_pt20.evgen.EVNT.e835_tid619472_00,619472,619472,SM,0,NULL,frozen,NULL,NULL,NULL,NULL,9b88ed3c-28e2-11e1-a524-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107694.AlpgenJimmyWmunuNp4_pt20.merge.log.e825_a131_s1353_a145_r2993_p841_tid791583_00,791583,791583,gr_Exotics,0,NULL,deleted,NULL,NULL,NULL,NULL,def507b2-8efa-11e1-a036-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107662.AlpgenJimmyZmumuNp2_pt20.merge.NTUP_HSG2.e835_s1299_s1300_r3043_r2993_p1225_tid01009858_00,1009858,1009858,GP_Higgs,0,NULL,deleted,NULL,NULL,NULL,NULL,1febe956-194e-11e2-a4c9-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107690.AlpgenJimmyWmunuNp0_pt20.recon.AOD.e825_s1299_s1300_r3043_tid01485753_00,1485753,1485753,AP_Top,0,NULL,toBeCleaned,NULL,NULL,NULL,NULL,9e0e1a10-f576-11e3-a64b-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107683.AlpgenJimmyWenuNp3_pt20.merge.log.e825_a131_s1353_a145_r2993_tid00883603_00,883603,883603,AP_SM,0,NULL,frozen,NULL,NULL,NULL,NULL,fe65c94a-bc92-11e1-98e1-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107665.AlpgenJimmyZmumuNp5_pt20.merge.NTUP_SUSY.e835_s1299_s1300_r2730_r2700_p820_tid606369_00,606369,606369,gr_Susy,0,NULL,frozen,NULL,NULL,NULL,NULL,39888794-2281-11e1-b70a-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107674.AlpgenJimmyZtautauNp4_pt20.merge.NTUP_SMLIGHT.e835_s1299_s1300_r3043_r2993_p1248_tid01016098_00,1016098,1016098,GP_SM,0,NULL,frozen,NULL,NULL,NULL,NULL,c4762834-1e3e-11e2-94da-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107672.AlpgenJimmyZtautauNp2_pt20.merge.log.e835_s1299_s1300_r3043_r2993_p851_tid654130_00,654130,654130,gr_Tau,0,NULL,frozen,NULL,NULL,NULL,NULL,7041dda6-3c14-11e1-a89c-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107664.AlpgenJimmyZmumuNp4_pt20.merge.log.e835_s1299_s1300_r3043_r2993_p1254_tid01013778_00,1013778,1013778,GP_Higgs,0,NULL,frozen,NULL,NULL,NULL,NULL,3839bd94-1c7d-11e2-9ff7-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107682.AlpgenJimmyWenuNp2_pt20.simul.HITS.e1815_a131_tid01204071_00,1204071,1204071,AP_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,5a1e9b3c-77a9-11e2-a0f7-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107663.AlpgenJimmyZmumuNp3_pt20.merge.NTUP_SMWZ.e835_s1299_s1300_r3157_r2993_p833_tid747428_00,747428,747428,gr_Higgs,0,NULL,deleted,NULL,NULL,NULL,NULL,886f62da-74d7-11e1-a637-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107652.AlpgenJimmyZeeNp2_pt20.merge.NTUP_HSG2.e835_s1299_s1300_r3043_r2993_p1486_tid01248790_00,1248790,1248790,GP_Higgs,0,NULL,frozen,NULL,NULL,NULL,NULL,8a455394-b40a-11e2-b26e-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107664.AlpgenJimmyZmumuNp4_pt20.merge.NTUP_SMWENU.e835_s1299_s1300_r3043_r2993_p833_tid655691_00,655691,655691,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,f325bd34-3dc0-11e1-8160-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107660.AlpgenJimmyZmumuNp0_pt20.merge.NTUP_SMWENU.e835_a131_s1353_a133_r2780_p801_tid591404_00,591404,591404,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,08331888-13dd-11e1-b988-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107654.AlpgenJimmyZeeNp4_pt20.merge.NTUP_TOP.e835_s1299_s1300_r2920_r2900_p834_tid609833_00,609833,609833,gr_Top,0,NULL,frozen,NULL,NULL,NULL,NULL,9cdfd146-2680-11e1-9f93-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.105985.WW_Herwig.merge.NTUP_SMWENU.e825_s1310_s1300_r3035_r2993_p801_tid606845_00,606845,606845,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,3de507cc-22cc-11e1-9048-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107662.AlpgenJimmyZmumuNp2_pt20.simul.log.e835_s1299_tid626552_00,626552,626552,SM,0,NULL,deleted,NULL,NULL,NULL,NULL,a517455c-2d0a-11e1-90ff-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107653.AlpgenJimmyZeeNp3_pt20.merge.NTUP_SUSY.e835_s1299_s1300_r3043_r2993_p935_tid767074_00,767074,767074,gr_Susy,0,NULL,group,NULL,NULL,NULL,NULL,a4c2fae8-85ce-11e1-b3fc-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107672.AlpgenJimmyZtautauNp2_pt20.merge.NTUP_SMWZ.e835_s1299_s1300_r3043_r2993_p833_tid655698_00,655698,655698,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,fd878578-3dc0-11e1-8160-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107684.AlpgenJimmyWenuNp4_pt20.merge.log.e825_a131_s1353_a139_r2900_p937_tid759541_00,759541,759541,gr_Top,0,NULL,frozen,NULL,NULL,NULL,NULL,596b712a-81fe-11e1-ad63-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107670.AlpgenJimmyZtautauNp0_pt20.simul.log.e835_s1299_tid576641_04,576641,576641,Higgs,0,NULL,deleted,NULL,NULL,NULL,NULL,1380ff68-03b9-11e1-947d-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107680.AlpgenJimmyWenuNp0_pt20.merge.log.e825_a131_s1353_tid01188835_00,1188835,1188835,AP_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,aa2a3b02-68c4-11e2-9dc4-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107661.AlpgenJimmyZmumuNp1_pt20.merge.NTUP_TOP.e835_s1299_s1300_r2730_r2700_p766_tid541212_00,541212,541212,gr_Top,0,NULL,frozen,NULL,NULL,NULL,NULL,7e9751ba-f781-11e0-b989-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107695.AlpgenJimmyWmunuNp5_pt20.merge.log.e825_a131_s1353_a145_r2993_p937_tid00927216_00,927216,927216,GP_Top,0,NULL,frozen,NULL,NULL,NULL,NULL,4a0a5132-da24-11e1-8d23-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107680.AlpgenJimmyWenuNp0_pt20.simul.HITS.e825_s1299_tid01485664_04,1485664,1485664,AP_Top,0,NULL,deleted,NULL,NULL,NULL,NULL,d516e230-f576-11e3-a64b-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107700.AlpgenJimmyWtaunuNp0_pt20.merge.log.e835_s1299_s1300_r3043_r2993_p955_tid762233_00,762233,762233,gr_Higgs,0,NULL,frozen,NULL,NULL,NULL,NULL,51f2e388-83de-11e1-9796-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107672.AlpgenJimmyZtautauNp2_pt20.merge.log.e835_s1299_s1300_r3043_r2993_p1248_tid01016093_00,1016093,1016093,GP_SM,0,NULL,frozen,NULL,NULL,NULL,NULL,c68a735a-1e3e-11e2-94da-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107655.AlpgenJimmyZeeNp5_pt20.merge.NTUP_HSG5ZHLLU.e835_s1299_s1300_r3043_r2993_p955_tid756450_00,756450,756450,gr_Higgs,0,NULL,frozen,NULL,NULL,NULL,NULL,1d5d0230-7e0b-11e1-87f9-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107654.AlpgenJimmyZeeNp4_pt20.merge.NTUP_TAUMEDIUM.e835_s1299_s1300_r3043_r2993_p851_tid654117_00,654117,654117,gr_Tau,0,NULL,frozen,NULL,NULL,NULL,NULL,6527d43e-3c14-11e1-a89c-00155dff097a,panda,unknown,0
